Grafik Titel (*),Beschreibung (*),Unterkategorie Level - 1 (*),Keywords (getrennt durch Komma),Artikelbild Dateiname1 (*),Artikelbild Dateiname2,Artikelbild Dateiname3,Artikelbild Dateiname4,Artikelbild Dateiname5,Wasserzeichen zu Bildern hinzufügen,Verfügbarkeit (*),Preis,Format,Rechte (*),Epoche (*),Jahr,Farbe,Artikelgröße (Länge),Artikelgröße (Breite),Artikelgröße (Höhe),Artikelgröße (Unit)
"Belle Lila Sofa","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Frau, rosa, Plakat, rechtefreies Plakat, Hochformat, Mode, Haute Couture, Modezeitschrift, Model, Laufsteg",1690577131843_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Hundefutter Doggy Power","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Werbung, Werbeplakat, rot, braun, Haustiere, Hund, Tiernahrung, Haustier, beige, Futter, Plakat, sand, rechtefreies Plakat, Hochformat",1690577132113_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Wiener Universal Versicherung “hoffentlich unfallversichert”","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Werbeplakat, blau, Finanzen, Schalter, Geld, Versicherung, Plakat, Versicherungen, rechtefreies Plakat, Lebensversicherung, Hochformat, Unfallversicherung, Geldwesen, Werbung",1690577132227_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Es ist Dein Urlaub – Laufen (Hochformat)","Hier findest Du dieses Motiv auch als Querformat. Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"rechtefrei, Sommer, Fremdenverkehr, Sonne, Urlaub, Strand, Plakat, Reisen, Tourismus, rechtefreies Plakat",1690577132314_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Mojo Roberts","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Jazz, schwarz, Plakat, rechtefreies Plakat, Hochformat, Werbung, Werbeplakat, Musik",1690577132368_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"One Earth – “brown hair”","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, Asylant, rechtefreies Plakat, sand, grau, Hochformat, NGO, Spenden, Jugendzimmer, NPO, Hilfe, Menschenrechte, helfen, Poster, Junge, Sozial, Einwanderer, Flüchtling, Immigrant",1690577132357_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Trixxi Cola light “Sommer”","Auf Anfrage auch als 16-Bogen-Plakat erhältlich. Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Softdrink, Jugendkultur, rot, braun, Cola, Jugend, Plakat, Urlaub, rechtefreies Plakat, Limo, Würstelstand, Limonade, Sommer, Werbung, beige, Strand, Werbeplakat, sand, Getränk, Querformat",1690577133541_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Medizin Grenzenlos","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Umweltschutz, farbige, Tierschutz, Ärzte, naturbewusst, umweltbewusst, Plakat, umweltschützend, rechtefreies Plakat, ökologisch, Medizin, Hilfsorganisation, Hochformat, gemeinnützig, Arzt, Verein, Jugendzimmer, NGO, Poster, NPO",1690577134444_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Protest","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, Hochformat, Links, Politisch, Punks, Demonstration",1690577135130_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Zahnarzt Implantate","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, rechtefreies Plakat, rechtefrei, Gesundheit, Medizin, Hochformat, Zahnarzt",1690577136303_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Taek Won Do türkisch","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Hochformat, Veranstaltung, Sport, Kampfsport, Plakat, rechtefreies Plakat",1690577139100_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Wiener Theater Festival","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Werbung, Werbeplakat, Plakat rechtefrei, Kultur, schwarz, Theater, Plakat, rechtefreies Plakat, rechtefrei, Hochformat",1690577140233_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Top Line Dusche","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, rechtefreies Plakat, rechtefrei, Hochformat, Werbung, Werbeplakat, Installateur",1690577141849_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Österreich entdecken “Winter”","Auf Anfrage auch als 16, oder 24-Bogen-Plakat erhältlich. Hier findest Du dieses Motiv auch als Hochformat. Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"rechtefreies Plakat, rechtefrei, Querformat, Sport, Wintersport, Wien, Panorama, Skifahren, Plakat, Fremdenverkehr, Winter, Reisen, Städtereisen, Schnee, Tourismus",1690577142060_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Rock Festival Plakat","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, schwarz, rechtefreies Plakat, Hochformat, Musik, Veranstaltung, Konzert, Kultur, Jugendkultur, Rock, Band, blau",1690577142603_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Crane Zigaretten","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"bunt, Kiosk, Plakat, Trafik, rechtefreies Plakat, Tschik, Rauchen, Zigaretten, Filterzigaretten, Hochformat, Werbung, Werbeplakat, Jugendliche",1690577143042_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Uhren Chronoridium","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Werbeplakat, schwarz, Uhren, Juwelier, Juwelen, Uhrmacher, elegant, Plakat, gold, rechtefreies Plakat, ocker, Hochformat, Werbung",1690577143261_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Waldner Bank Plakat 2","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Kreditinstitut, Werbung, Werbeplakat, Finanzen, Schalter, Geld, Plakat, Bankfoyer, rechtefreies Plakat, Fake-Bank, Hochformat, Bank, Geldwesen",1690577143579_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Lagerauflösung","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Flohmarkt, Textplakat, Lagerabverkauf, schwarz-gelb, Plakat, Hochformat",1690577143869_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
